# This is the raster of wavelengths at which mock 4MOST HRS observations are returned.
# Source: 4FS ETC

# import numpy as np
# x = np.loadtxt("raster_hrs.txt")
# y = x.transpose()
# y[1][:-1] = np.diff(y[0])
# np.savetxt("raster_hrs_2.txt", y[0:2].transpose())

3.919781629900000098e+03 7.879332999982580077e-02
3.919860423229999924e+03 7.879334000017479411e-02
3.919939216570000099e+03 7.879333999972004676e-02
3.920018009909999819e+03 7.879333000028054812e-02
3.920096803240000099e+03 7.879333999972004676e-02
3.920175596579999819e+03 7.879333000028054812e-02
3.920254389910000100e+03 7.879333999972004676e-02
3.920333183249999820e+03 7.879334000017479411e-02
3.920411976589999995e+03 7.879332999982580077e-02
3.920490769919999821e+03 7.879334000017479411e-02
3.920569563259999995e+03 7.879334000017479411e-02
3.920648356600000170e+03 7.879332999982580077e-02
3.920727149929999996e+03 7.879334000017479411e-02
3.920805943270000171e+03 7.879333999972004676e-02
3.920884736609999891e+03 7.879333000028054812e-02
3.920963529940000171e+03 7.879333999972004676e-02
3.921042323279999891e+03 7.879333000028054812e-02
3.921121116610000172e+03 7.879333999972004676e-02
3.921199909949999892e+03 7.879334000017479411e-02
3.921278703290000067e+03 7.879332999982580077e-02
3.921357496619999893e+03 7.879334000017479411e-02
3.921436289960000067e+03 7.879333999972004676e-02
3.921515083299999787e+03 7.879333000028054812e-02
3.921593876630000068e+03 7.879333999972004676e-02
3.921672669969999788e+03 7.879333000028054812e-02
3.921751463300000069e+03 7.879333999972004676e-02
3.921830256639999789e+03 7.879334000017479411e-02
3.921909049979999963e+03 7.879332999982580077e-02
3.921987843309999789e+03 7.879334000017479411e-02
3.922066636649999964e+03 7.879334000017479411e-02
3.922145429990000139e+03 7.879332999982580077e-02
3.922224223319999965e+03 7.879334000017479411e-02
3.922303016660000139e+03 7.879333999972004676e-02
3.922381809999999859e+03 7.879333000028054812e-02
3.922460603330000140e+03 7.879333999972004676e-02
3.922539396669999860e+03 7.879333000028054812e-02
3.922618190000000141e+03 7.879333999972004676e-02
3.922696983339999861e+03 7.879334000017479411e-02
3.922775776680000035e+03 7.879332999982580077e-02
3.922854570009999861e+03 7.879334000017479411e-02
3.922933363350000036e+03 7.879334000017479411e-02
3.923012156690000211e+03 7.879332999982580077e-02
3.923090950020000037e+03 7.879334000017479411e-02
