# This is the raster of wavelengths at which mock 4MOST LRS observations are returned.
# Source: 4FS ETC

# import numpy as np
# x = np.loadtxt("raster_hrs.txt")
# y = x.transpose()
# y[1][:-1] = np.diff(y[0])
# np.savetxt("raster_hrs_2.txt", y[0:2].transpose())

3.676215582929999982e+03 3.164715200000500772e-01
3.676532054450000032e+03 3.164715200000500772e-01
3.676848525970000082e+03 3.164715200000500772e-01
3.677164997490000133e+03 3.164715200000500772e-01
3.677481469010000183e+03 3.164715199995953299e-01
3.677797940529999778e+03 3.164715200000500772e-01
3.678114412049999828e+03 3.164715200000500772e-01
3.678430883569999878e+03 3.164715200000500772e-01
3.678747355089999928e+03 3.164715200000500772e-01
3.679063826609999978e+03 3.164715200000500772e-01
3.679380298130000028e+03 3.164715200000500772e-01
3.679696769650000078e+03 3.164715200000500772e-01
3.680013241170000128e+03 3.164715200000500772e-01
3.680329712690000179e+03 3.164715199995953299e-01
3.680646184209999774e+03 3.164715200000500772e-01
3.680962655729999824e+03 3.164715200000500772e-01
3.681279127249999874e+03 3.164715200000500772e-01
3.681595598769999924e+03 3.164715200000500772e-01
3.681912070289999974e+03 3.164715200000500772e-01
3.682228541810000024e+03 3.164715200000500772e-01
3.682545013330000074e+03 3.164715200000500772e-01
3.682861484850000124e+03 3.164715200000500772e-01
3.683177956370000175e+03 3.164715200000500772e-01
3.683494427890000225e+03 3.164715199995953299e-01
3.683810899409999820e+03 3.164715200000500772e-01
3.684127370929999870e+03 3.164715200000500772e-01
3.684443842449999920e+03 3.164715200000500772e-01
3.684760313969999970e+03 3.164715100001558312e-01
3.685076785480000126e+03 3.164715200000500772e-01
3.685393257000000176e+03 3.164715200000500772e-01
3.685709728520000226e+03 3.164715199995953299e-01
3.686026200039999821e+03 3.164715200000500772e-01
3.686342671559999872e+03 3.164715200000500772e-01
3.686659143079999922e+03 3.164715200000500772e-01
3.686975614599999972e+03 3.164715200000500772e-01
3.687292086120000022e+03 3.164715200000500772e-01
3.687608557640000072e+03 3.164715200000500772e-01
3.687925029160000122e+03 3.164715200000500772e-01
3.688241500680000172e+03 3.164715200000500772e-01
3.688557972200000222e+03 3.164715199995953299e-01
3.688874443719999817e+03 3.164715200000500772e-01
3.689190915239999867e+03 3.164715200000500772e-01
3.689507386759999918e+03 3.164715200000500772e-01
3.689823858279999968e+03 3.164715200000500772e-01
3.690140329800000018e+03 3.164715200000500772e-01
3.690456801320000068e+03 3.164715200000500772e-01
3.690773272840000118e+03 3.164715200000500772e-01
3.691089744360000168e+03 3.164715200000500772e-01
3.691406215880000218e+03 3.164715199995953299e-01
3.691722687399999813e+03 3.164715200000500772e-01
3.692039158919999863e+03 3.164715200000500772e-01
3.692355630439999914e+03 3.164715200000500772e-01
3.692672101959999964e+03 3.164715200000500772e-01
3.692988573480000014e+03 3.164715200000500772e-01
3.693305045000000064e+03 3.164715200000500772e-01
3.693621516520000114e+03 3.164715200000500772e-01
3.693937988040000164e+03 3.164715200000500772e-01
3.694254459560000214e+03 3.164715199995953299e-01
3.694570931079999809e+03 3.164715200000500772e-01
3.694887402599999859e+03 3.164715200000500772e-01
3.695203874119999909e+03 3.164715200000500772e-01
3.695520345639999960e+03 3.164715200000500772e-01
3.695836817160000010e+03 3.164715200000500772e-01
3.696153288680000060e+03 3.164715200000500772e-01
3.696469760200000110e+03 3.164715200000500772e-01
3.696786231720000160e+03 3.164715200000500772e-01
3.697102703240000210e+03 3.164715199995953299e-01
3.697419174759999805e+03 3.164715200000500772e-01
3.697735646279999855e+03 3.164715200000500772e-01
3.698052117799999905e+03 3.164715200000500772e-01
3.698368589319999955e+03 3.164715200000500772e-01
3.698685060840000006e+03 3.164715200000500772e-01
3.699001532360000056e+03 3.164715100001558312e-01
3.699318003870000211e+03 3.164715199995953299e-01
3.699634475389999807e+03 3.164715200000500772e-01
3.699950946909999857e+03 3.164715200000500772e-01
3.700267418429999907e+03 3.164715200000500772e-01
3.700583889949999957e+03 3.164715200000500772e-01
3.700900361470000007e+03 3.164715200000500772e-01
3.701216832990000057e+03 3.164715200000500772e-01
